id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2842689,None,None,None,Machine wash or professional dry clean,None,Burgundy,"95% Polyester, 5% Elastane","Ruched, Zipper, Split Thigh",Non-Stretch,Regular Fit,Slit,Long,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/15/16237539862787c5990e9f77af42772d0ecbc3fb6c_thumbnail_405x552.jpg,US$15.18
2846184,None,None,None,Machine wash or professional dry clean,None,Pink,"95% Polyester, 5% Elastane","Ruffle, Zipper",Slight Stretch,Slim Fit,Pencil,Mini,None,Mesh,Off the Shoulder,Plain,None,Spring/Summer,No,None,Long Sleeve,Bishop Sleeve,Glamorous,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/07/16230481148113b4fd18bd1d5bb4e5740214b6d751_thumbnail_405x552.jpg,US$39.43
2849385,None,None,None,Machine wash or professional dry clean,None,Silver,"90% Polyester, 10% Elastane","Drawstring, Split Thigh",Slight Stretch,Regular Fit,Slit,Short,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Glamorous,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/29/1627524944e246063d2c6db1aa402aa9615ea00c9e_thumbnail_405x552.jpg,US$15.18
2850070,None,None,None,Machine wash or professional dry clean,None,Pink,"65% Cotton, 33% Polyester, 2% Elastane","Button, Tie Front",Slight Stretch,Regular Fit,Straight,Knee Length,None,Cotton,Collar,Plain,None,Spring,No,None,Three Quarter Length Sleeve,Puff Sleeve,Elegant,Shirt,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/09/162580038411fce2743e0dfa902c138499c85069f0_thumbnail_405x552.jpg,US$24.12
2855828,None,None,None,Machine wash or professional dry clean,None,Green,"39% Nylon, 38% Cotton, 23% Rayon","Ruffle, Zipper",Non-Stretch,Regular Fit,Flared,Maxi,None,Lace,Round Neck,Plain,None,Spring/Fall,No,None,Three Quarter Length Sleeve,Flounce Sleeve,Glamorous,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/08/06/162822211644525e1c9aebdb838cc1a64ca0ee87ac_thumbnail_405x552.jpg,US$68.78
2865455,None,None,None,Machine wash or professional dry clean,None,Champagne,100% Polyester,"Backless, Criss Cross, Split Thigh",Non-Stretch,Regular Fit,Slit,Long,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/09/1623219580ef261c447e1c5f3b30027e27e8a66f1b_thumbnail_405x552.jpg,US$25.39
2881101,None,None,Unlined,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Elastane","Ruffle, Ruffle Hem",Non-Stretch,Regular Fit,Flounce,Knee Length,None,Polyester,Round Neck,All Over Print,None,Spring/Summer,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/13/162614329808dddcdfaa32ea3add5a4cefc5e7e747_thumbnail_405x552.jpg,US$19.01
2884513,None,None,None,Machine wash or professional dry clean,None,White,"55% Rayon, 45% Polyester","Button Front, Eyelet Embroidery",Non-Stretch,Regular Fit,Flared,Maxi,None,Rayon,V neck,Plain,None,Spring/Summer,No,None,Short Sleeve,Regular Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/10/1623304193c5a94275a557d29a99a81862947c0d97_thumbnail_405x552.jpg,US$34.32
2891725,None,None,None,Machine wash or professional dry clean,None,Purple,100% Polyester,"Ruched, Split Thigh",Medium Stretch,Slim Fit,Slit,Midi,None,Polyester,Round Neck,Plain,None,Summer,No,None,Cap Sleeve,Regular Sleeve,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/10/16233142386e62cc3569a88c89793965643970edd2_thumbnail_405x552.jpg,US$19.01
2893429,None,Yes,Unlined,Machine wash or professional dry clean,No Padding,Black and White,"85% Polyester, 15% Elastane",Belted,Slight Stretch,Regular Fit,Straight,Midi,None,Polyester,Notched,Floral,None,Summer,No,None,Short Sleeve,Batwing Sleeve,Casual,Tunic,Natural,http://img.ltwebstatic.com/images3_pi/2021/11/13/1636798935a34daf86b77cb9a54d9e26f0cf9c48ae_thumbnail_405x552.jpg,US$19.01
