id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2967169,None,None,None,Machine wash or professional dry clean,None,Mint Green,"95% Polyester, 5% Elastane","Ruched, Button Front",High Stretch,Slim Fit,Pencil,Mini,None,Polyester,Collar,Plain,None,Spring,No,None,Long Sleeve,Regular Sleeve,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/09/14/16316161271b3c0e0687cca5cba48a5ad71e779eff_thumbnail_405x552.jpg,US$13.91
2967245,None,None,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Ruffle, Ruffle Hem, Shirred",Slight Stretch,Regular Fit,Flounce,Maxi,None,Polyester,Round Neck,Ditsy Floral,None,Spring/Fall,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/07/1625670797ffba570f5ee895d1b577a8b52c3b9e32_thumbnail_405x552.jpg,US$25.39
2967318,None,None,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Wrap, Backless, Ruffle Hem, Split, Zipper",Non-Stretch,Regular Fit,Mermaid,Knee Length,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/28/162487337474feaee635e852a539cce2bf321e6052_thumbnail_405x552.jpg,US$20.29
2967336,None,None,None,Machine wash or professional dry clean,None,Apricot,"95.7% Polyester, 4.3% Elastane","Cut Out, Split, Zipper",Slight Stretch,Slim Fit,Pencil,Long,None,Polyester,Spaghetti Strap,Plain,None,All,No,None,Sleeveless,None,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/162441179399e7d7e8b5885121fa1a89d474871b02_thumbnail_405x552.jpg,US$57.29
2967390,None,Yes,None,Machine wash or professional dry clean,None,Orange,100% Polyester,"Ruffle, Wrap, Ruffle Hem, Knot",Non-Stretch,Regular Fit,Wrap,Short,None,Polyester,Spaghetti Strap,All Over Print,None,Summer,No,None,Sleeveless,None,Boho,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/29/16249548370a0dff3804f2d11a71ae06d675ea3bbb_thumbnail_405x552.jpg,US$15.18
2967395,None,None,None,Machine wash or professional dry clean,No Padding,Multicolor,"95% Polyester, 5% Spandex","Ruched, Cut Out, Asymmetrical",Non-Stretch,Slim Fit,Asymmetrical,Short,None,Satin,One Shoulder,Floral,None,Spring/Summer,No,None,Long Sleeve,Bishop Sleeve,Sexy,Fitted,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/23/162441384800885234653948a29d06c5b3e118219f_thumbnail_405x552.jpg,US$25.39
2967409,None,None,None,Machine wash or professional dry clean,None,Dusty Pink,100% Polyester,"Wrap, Ruffle Hem, Split, Zipper",Non-Stretch,Regular Fit,Mermaid,Knee Length,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/28/1624873390a3ae40765cd2d80b46e8a3ea93a97a56_thumbnail_405x552.jpg,US$20.29
2967811,None,None,None,Machine wash or professional dry clean,None,Red,"90% Polyester, 10% Elastane","Backless, Ruched, Split Thigh",Medium Stretch,Slim Fit,Slit,Long,None,Polyester,Deep V Neck,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/22/162434536573444656b00f154337866cd408154681_thumbnail_405x552.jpg,US$26.67
2967859,None,None,None,Machine wash or professional dry clean,None,Red,"55% Rayon, 45% Polyester","Contrast Lace, Zipper, Split Thigh",Non-Stretch,Regular Fit,Slit,Maxi,None,Rayon,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/22/16243332614cab9eb09a5950c49f33ca239c6422f4_thumbnail_405x552.jpg,US$27.94
2968091,None,None,None,Machine wash or professional dry clean,None,Black and White,"95% Polyester, 5% Spandex","Split, Zipper",Medium Stretch,Slim Fit,Pencil,Midi,None,Polyester,Off the Shoulder,Colorblock,None,All,No,None,Sleeveless,None,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/24/16245013003af4c1d1277a398bf8a82f46b8d70bc4_thumbnail_405x552.jpg,US$35.60
2968209,None,None,None,Machine wash or professional dry clean,No Padding,Red,100% Polyester,"Wrap, Backless, Cut Out, Asymmetrical, Criss Cross, Zipper",High Stretch,Slim Fit,Wrap,Midi,None,Polyester,Off the Shoulder,Plain,None,All,No,None,Short Sleeve,None,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/24/16245131294d56c18020bcb21b6fa1c7b358042555_thumbnail_405x552.jpg,US$25.39
2968216,None,None,None,Machine wash or professional dry clean,None,Black,100% Polyester,Zipper,Non-Stretch,Regular Fit,Flared,Midi,None,Polyester,Boat Neck,Floral,None,Spring/Summer,No,None,Three Quarter Length Sleeve,Regular Sleeve,Elegant,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/24/16245070984104ae0e7e0210b7345c8b3df28e7aeb_thumbnail_405x552.jpg,US$26.67
2968261,None,None,None,Machine wash or professional dry clean,None,Burgundy,100% Polyester,"Wrap, Zipper",Non-Stretch,Regular Fit,None,Midi,None,Chiffon,V neck,Plain,None,Summer,No,None,Short Sleeve,Butterfly Sleeve,None,A Line,None,http://img.ltwebstatic.com/images3_pi/2021/06/24/1624502069224dc86dcf31823a0c8cf9debfacb003_thumbnail_405x552.jpg,US$39.43
2968282,None,None,None,Machine wash or professional dry clean,None,Brown,"95% Polyester, 5% Elastane","Ruched, Cut Out, Drawstring",Slight Stretch,Slim Fit,Pencil,Mini,None,Polyester,One Shoulder,Plain,None,Spring/Fall,No,None,Long Sleeve,Regular Sleeve,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/20/162676199675208b0a92beff8a994f5d033b74d6f5_thumbnail_405x552.jpg,US$17.74
2968508,None,None,None,Machine wash or professional dry clean,None,Navy Blue,100% Polyester,"Knot, Split Thigh",Non-Stretch,Regular Fit,Wrap,Long,None,Polyester,V neck,Polka Dot,None,Spring/Fall,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/14/1626265265639fc7c441e63d6154e2855e83b58f18_thumbnail_405x552.jpg,US$20.29
2968726,None,None,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,"Ruffle, Frill, Cut Out, Button, Shirred",Non-Stretch,Regular Fit,Flared,Knee Length,None,Polyester,Stand Collar,Floral,None,Spring/Fall,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/16/1626416020b286106e6f0393c1077010116e7b4b65_thumbnail_405x552.jpg,US$17.74
2968897,None,None,None,Machine wash or professional dry clean,None,Olive Green,"95% Polyester, 5% Elastane","Belted, Pleated",Non-Stretch,Regular Fit,Pleated,Short,None,Polyester,Shawl Collar,Plain,None,Spring/Summer,No,None,Long Sleeve,Regular Sleeve,Elegant,Shirt,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/23/16244277350030a861151ce030fbabb388a37fba03_thumbnail_405x552.jpg,US$30.50
2969046,None,None,None,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Elastane",None,Medium Stretch,Regular Fit,Flared,Short,None,Polyester,Round Neck,"Colorblock, Zebra Stripe",None,Summer,No,None,Short Sleeve,Regular Sleeve,Casual,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/09/1625820248cc1c1274e1abfa1fb7ee6f56da78f3a3_thumbnail_405x552.jpg,US$12.63
2969119,None,None,None,Machine wash or professional dry clean,None,Mint Green,100% Polyester,"Ruffle, Backless, Tiered Layer, Tie Back",Slight Stretch,Regular Fit,Flounce,Maxi,None,Polyester,Square Neck,Plain,None,Summer,No,None,Cap Sleeve,Butterfly Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/08/02/1627876784f041efdcd29c03078f36e01a681649f8_thumbnail_405x552.jpg,US$24.12
2969146,None,None,None,Machine wash or professional dry clean,None,Red and White,"95% Polyester, 5% Elastane",Button,Slight Stretch,Regular Fit,Straight,Mini,None,Polyester,Halter,All Over Print,None,Summer,No,None,Sleeveless,None,Boho,Tunic,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/19/1626666047a84f2460cfed80eb83f2ed2fca0e7120_thumbnail_405x552.jpg,US$13.91
2969256,None,Yes,None,Machine wash or professional dry clean,None,Green,100% Polyester,"Backless, Ruffle Hem, Belted, Tie Back",Non-Stretch,Regular Fit,Flounce,Knee Length,None,Polyester,Halter,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Cami,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/23/1627035118f7a93749456f34149608da01adaef803_thumbnail_405x552.jpg,US$15.18
